title,url,category,text,cluster
"NFL fines the Falcons $250,000 and Jeff Ulbrich $100,000 over Shedeur Sanders’ phone number leak",https://edition.cnn.com/2025/04/30/sport/nfl-fines-falcons-jeff-ulbrich-shedeur-sanders-spt,Sports,"NFL fines the Falcons $250,000 and Jeff Ulbrich $100,000 over Shedeur Sanders’ phone number leak",3
Jalen Hurts misses Eagles’ White House celebrations while Trump backs the ‘tush push’,https://edition.cnn.com/2025/04/29/sport/eagles-white-house-donald-trump-hurts-swift-spt-intl,Sports,Jalen Hurts misses Eagles’ White House celebrations while Trump backs the ‘tush push’,3
The Shedeur Sanders slide and who were the winners: what we learned from the 2025 NFL draft,https://edition.cnn.com/2025/04/28/sport/2025-nfl-draft-takeaways-spt-intl,Sports,The Shedeur Sanders slide and who were the winners: what we learned from the 2025 NFL draft,3
Eagles star Saquon Barkley hangs out with Trump after Jalen Hurts dodges question on White House visit,https://edition.cnn.com/2025/04/28/sport/saquon-barkley-donald-trump-eagles-white-house-spt-intl,Sports,Eagles star Saquon Barkley hangs out with Trump after Jalen Hurts dodges question on White House visit,3
Jalen Brunson game-winner lifts New York Knicks over Detroit Pistons and into second round of NBA playoffs,https://edition.cnn.com/2025/05/02/sport/knicks-pistons-game-6-nba-playoffs-spt,Sports,Jalen Brunson game-winner lifts New York Knicks over Detroit Pistons and into second round of NBA playoffs,3
Questions swirl over LeBron James’ future as Lakers season comes to a disappointing end,https://edition.cnn.com/2025/05/01/sport/lebron-james-future-lakers-spt,Sports,Questions swirl over LeBron James’ future as Lakers season comes to a disappointing end,3
Rudy Gobert shuts down critics with two playoff career highs as Minnesota Timberwolves eliminate Los Angeles Lakers,https://edition.cnn.com/2025/05/01/sport/minnesota-timberwolves-game-5-la-lakers-spt,Sports,Rudy Gobert shuts down critics with two playoff career highs as Minnesota Timberwolves eliminate Los Angeles Lakers,3
Giannis Antetokounmpo clashes with Tyrese Haliburton’s dad after ‘disrespectful’ behavior as Pacers clinch playoff series win,https://edition.cnn.com/2025/04/30/sport/giannis-antetokounmpo-haliburton-bucks-pacers-game-5-spt,Sports,Giannis Antetokounmpo clashes with Tyrese Haliburton’s dad after ‘disrespectful’ behavior as Pacers clinch playoff series win,3
Fan hospitalized after scary fall from outfield wall during Cubs and Pirates game,https://edition.cnn.com/2025/04/30/sport/fan-hospitalized-after-fall-outfield-wall-pnc-park-spt,Sports,Fan hospitalized after scary fall from outfield wall during Cubs and Pirates game,3
No criminal charges over death of ice hockey player Adam Johnson,https://edition.cnn.com/2025/04/29/sport/adam-johnson-hockey-death-no-charges-spt-intl,Sports,No criminal charges over death of ice hockey player Adam Johnson,3
